English word,French word,Frequency
respecter,,1
sur,,1
au dessus,,1
à l'étranger,,1
absence,absence,1
abuser de,,1
selon,,1
Compte,,1
accuser,,1
connaissance,,3
action,action,1
avantage,,3
Conseil,,2
affaires,,1
affection,affection,1
affections,affections,1
peur,,1
après,,1
ensuite,,1
encore,,2
vivant,,2
presque,,1
seul,,1
le long de,,1
déjà,,1
bien que,,2
toujours,,1
ambition,ambition,1
ancien,,2
ange,,1
colère,,2
un autre,,1
répondre,,1
n'importe quoi,,1
vêtements,,2
apparaître,,1
apparaît,,1
approche,,1
argument,argument,1
Ariel,,1
armure,,1
de côté,,1
endormi,,1
assurer,,1
Athènes,,1
assister,,1
assisté,,1
autorité,,1
éviter,,1
éveillé,,1
quelque temps,,1
bannir,,1
Dénudé,,1
bassianus,bassianus,1
Connard,,1
bataille,,1
barbe,,1
palier,,1
ours,,1
la bête,,1
battu,,1
beauté,,1
car,,1
devenir,,1
Bedford,,1
avant,,1
mendiant,,1
commencer,,1
nom,,1
derrière,,1
voir,,1
étant,,1
croyez,,1
être comme,,1
au dessous de,,1
outre,,1
trahir,,1
mieux,,1
entre,,1
au-delà,,1
naissance,,1
évêque,,1
amer,,1
noir,,1
faire des reproches,,1
bénir,,1
bénédiction,,1
heureux,,2
aveugle,,1
du sang,,1
coups,,1
cru,,1
rougir,,1
corps,,1
des os,,1
supporté,,1
bas,,1
acheté,,1
lié,,1
prime,,1
cerveau,,1
cerveaux,,1
courageux,,1
Sein,,1
souffle,,1
race,,1
bref,,1
brillant,,1
apporter,,1
cassé,,1
ruisseau,,1
frère,,1
apporté,,1
sourcils,,1
fardeau,,1
enterré,,1
brûlant,,1
Entreprise,,1
ne peux pas,,1
Capitole,,1
capitaine,,1
cardinal,cardinal,1
se soucie,,1
porter,porter,2
Château,,1
capture,,1
cause,cause,1
cesser,,1
certain,certain,1
chaîne,,1
chaise,,1
défi,,1
chambre,,1
chance,chance,1
changement,,1
charge,charge,1
charité,,1
chaste,chaste,1
joue,,1
acclamation,,1
gronder,,1
chef,,1
enfant,,1
choix,,1
église,,1
cinna,cinna,1
citoyenne,,1
civil,civil,1
prétendre,,1
clarté,,1
claud,claud,1
Claudio,,1
clair,,1
Clifford,,1
proche,,1
cailloter,,1
des nuages,,1
pitre,,1
Université,,1
Couleur,,1
vient,,1
confort,,1
venir,,1
cominius,cominius,1
commander,,1
commandé,,1
saluer,,2
commercial,commercial,1
commission,commission,1
commettre,,1
commun,,1
un compagnon,,1
entreprise,,1
Achevée,,1
complexion,complexion,1
état,,1
conduite,,1
avouer,,1
conscience,conscience,1
consentement,,1
considérer,,1
gendarme,,1
constant,constant,1
mépris,,2
contenu,,1
contraire,,1
copies,copies,1
droits d'auteur,,1
pourrait,,2
conseil,,1
compter,,1
contrefaire,,1
comtesse,,1
pays,,1
courage,courage,1
cours,,1
tribunal,,1
courtoisie,,1
cousin,cousin,1
lâche,,1
demander,,1
créature,,1
crédit,,1
Cromwell,,1
traverser,,1
couronne,,1
cruel,cruel,1
ruse,,1
Cupidon,,1
malédiction,,1
Douane,,1
dague,,1
damné,,1
Danse,,1
danger,danger,2
obscurité,,1
fille,,1
mortel,,2
très cher,,1
chèrement,,1
décès,,1
actes,,1
défendre,,1
diplôme,,1
délice,,1
livrer,,1
demande,,2
refusé,,1
partir,,1
désert,,1
mériter,,1
le désir,,1
désespoir,,1
désespéré,,1
malgré,,1
dispositif,,1
diable,,1
concevoir,,1
didst,didst,1
dîner,,1
discours,,2
découvrir,,1
disgrâce,,1
déshonorer,,1
envoi,,1
mécontentement,,1
disposition,disposition,1
distribué,,1
Divin,,1
docteur,,1
Faire,,1
Dolabella,,1
des portes,,1
double,double,1
doute,,1
Télécharger,,1
dramatis,dramatis,1
tiré,,1
crainte,,1
horrible,,1
rêver,,1
rêves,,1
boisson,,1
gouttes,,1
noyer,,1
tambours,,1
ivre,,1
Duncan,,1
durst,durst,1
habiter,,1
en train de mourir,,1
de bonne heure,,1
Terre,,1
Edmund,,1
effet,,1
Egypte,,1
Soit,,1
coude,,1
aîné,,1
embrasse,,1
Émilie,,1
empereur,,1
vide,,1
rencontre,,2
supporter,,2
ennemis,,1
ennemi,,1
prendre plaisir,,1
énobarbus,,1
assez,,2
entrer,,1
divertir,,1
divertissement,,1
supplier,,1
égal,,1
biens,,1
éternel,,1
chaque,,1
tout,,1
excellent,excellent,1
sauf,,1
excuse,excuse,1
exécution,,1
Exeter,,1
sortir,,1
Express,,1
visages,,1
perdre connaissance,,1
Fée,,1
Foi,,1
des chutes,,1
faux,,2
familier,,1
fantaisie,,1
adieu,,1
plus loin,,2
mode,,1
fatal,fatal,1
père,,1
faute,,1
favoriser,,1
craintif,,1
peurs,,1
le banquet,,1
faible,,1
compagnon,,1
Fenton,,1
Ferdinand,,1
chercher,,2
champ,,1
démon,,1
féroce,,1
ardent,,1
bats toi,,1
figure,figure,1
trouve,,1
doigt,,1
première,,1
flatter,flatter,1
la chair,,1
mouches,,1
vol,,1
inonder,,1
fleurir,,1
fleur,,1
fleurs,,1
suivre,,1
folie,,1
insensé,,1
imbéciles,,1
ancêtre,,1
interdire,,1
Obliger,,1
les forces,,1
forêt,,1
oublier,,1
en vérité,,1
en avant,,1
fortune,fortune,1
vers l'avant,,1
combattu,,1
a trouvé,,1
Quatrième,,1
Cadre,,1
France,,1
librement,,1
français,,1
Frais,,1
ami,,1
froncer les sourcils,,1
fruit,fruit,1
galant,,1
jardin,,1
portes,,1
décharné,,1
général,,1
doux,,1
fantôme,,1
donné,,1
donnant,,1
verre,,1
glorieux,,1
gloire,,1
Aller,,1
d'or,,1
la bonté,,1
gower,gower,1
la grâce,,1
subvention,,1
la tombe,,1
génial,,1
vert,,1
douleur,,1
pleurer,,1
brut,,1
sol,,1
grandi,,1
garde,,2
devine,,1
coupable,,1
habitude,,1
mains,,1
pendaison,,1
bloque,,1
bonheur,,1
hâte,,1
odieux,,1
ayant,,1
têtes,,1
santé,,1
entendu,,1
cœur,,1
paradis,,1
lourd,,1
Hector,,1
talons,,1
Par conséquent,,1
désormais,,1
"ci-après, par la suite",,1
se,,2
altesse,,1
tient,,1
creux,,1
honnête,,1
cheval,,1
hôtesse,,1
heures,,1
maison,,1
Hubert,,1
humble,humble,1
humour,humour,1
cent,,1
mari,,1
ignorant,ignorant,1
image,image,2
comprend,,1
En effet,,1
infini,,1
innocent,innocent,1
instant,instant,1
avoir l'intention,,1
intention,,1
problème,,1
lui-même,,1
jaloux,,1
bijou,,1
juge,,1
jugement,,1
Julia,,1
Justice,,1
la gentillesse,,1
Royaume,,1
rois,,1
fripon,,1
s'agenouiller,,1
les genoux,,1
couteau,,1
Chevalier,,1
frappe,,1
connu,,1
sait,,1
la main d'oeuvre,,1
Dames,,1
Madame,,1
terres,,1
grand,,1
rire,,1
lancer,,1
légitime,,1
apprendre,,1
appris,,1
moins,,1
laisser,,1
loisir,,1
leontes,leontes,1
lettre,,1
liberté,,1
bibliothèque,,1
Liege,,1
lieutenant,lieutenant,1
lumière,,1
membres,,1
peu,,1
vies,,1
plus long,,1
regards,,1
ample,,1
seigneurs,,1
seigneurie,,1
Lorenzo,,1
charmant,,1
les amoureux,,1
aime,,1
aimant,,1
Lucentio,,1
machine,machine,1
la démence,,1
jeune fille,,2
servantes,,1
maintenir,,1
majesté,,1
fait du,,1
fabrication,,1
malice,malice,1
manière,,1
Mars,,1
Marcius,,1
Marcus,,1
margaret,margaret,1
maria,maria,1
Mariana,,1
mariage,,1
marier,,1
Maître,,1
matière,,2
sens,,2
veux dire,,1
signifiait,,1
mesure,,1
réunion,,1
adhésion,,1
Mémoire,,1
marchande,,1
pitié,,1
mérite,,1
joyeux,,1
Messager,,1
minuit,,1
puissant,,1
Milan,,1
esprits,,1
ministre,,1
Miranda,,1
gaieté,,1
sottises,,1
misère,,1
erreur,,1
maîtresse,,1
modeste,,1
argent,,2
monstre,,1
mois,,1
Matin,,1
demain,,1
mère,,1
mouvement,,1
bouche,,1
mowbray,mowbray,1
meurtre,,1
aller plus loin,,1
la musique,,1
moi même,,1
nu,,1
des noms,,1
originaire de,,1
Naturel,,1
la nature,,1
Besoins,,1
voisine,,1
ni,,1
jamais,,1
nièce,,1
nuit,,1
noble,noble,1
bruit,,1
rien,,1
néant,,1
nombre,,1
infirmière,,1
serments,,1
obéissance,,1
Oberon,,1
objet,,1
occasion,occasion,1
infraction,,1
offenser,,1
offre,,1
Bureau,,1
souvent,,1
oliver,oliver,1
opinion,opinion,1
ordre,,1
orlando,orlando,1
autre,,1
autres,,1
nous-mêmes,,1
vers l'extérieur,,1
Oxford,,1
Padoue,,1
des douleurs,,1
peint,,1
peintre,,1
palais,,1
Pandarus,,1
papier,,1
pardon,pardon,1
Paris,,1
parolles,parolles,1
séparé,,1
particulier,,1
partiellement,,1
les pièces,,1
fête,,1
passage,passage,1
la passion,,1
la patience,,1
patient,patient,1
paulina,paulina,1
paix,,1
pedro,pedro,1
gens,,1
apercevoir,,1
Percy,,1
parfait,,1
peut-être,,1
péril,,1
autorisation,,1
la personne,,1
personnel,,1
phebe,phebe,1
Philippe,,1
pièce,,1
pistolet,,1
endroit,,1
peste,,1
plaine,,1
plaider,,1
S'il vous plaît,,1
plaisir,,1
cueillir,,1
poins,poins,1
point,point,1
poison,poison,1
politique,,1
polixènes,,1
pompey,pompey,1
possible,possible,1
posthume,,1
livre,,1
Puissance,,1
entraine toi,,1
louange,,1
prières,,1
précieux,,1
préparer,,1
présence,,1
présent,,1
jolie,,1
fierté,,1
prêtre,,1
prince,prince,1
prison,prison,1
privé,,1
prix,,1
procéder,,1
proclamer,,1
profit,profit,1
interdit,,1
projet,,1
prologue,prologue,1
promettre,,1
preuve,,1
correct,,1
protecteur,,1
manifestation,,1
fier,,1
prouver,,1
à condition de,,1
Publique,,1
objectif,,1
bourse,,1
qualité,,1
querelle,,1
reine,,1
question,question,1
rapide,,2
silencieux,,1
quoth,quoth,1
élever,,1
une rançon,,1
coquin,,2
plutôt,,1
lisible,,1
prêt,,2
domaine,,1
raison,,1
recevoir,,1
qui concerne,,1
règne,,2
rester,,1
remède,,1
rappelles toi,,1
rendre,,1
réparation,,1
se repentir,,1
rapport,,1
réputation,,1
le respect,,1
revenir,,1
vengeance,vengeance,2
révérence,,1
révolte,,1
droite,,1
rivières,,1
pourri,,1
rugueux,,1
rond,,1
Royal,,1
sacré,,1
sécurité,,1
Saint,,1
salerio,salerio,1
satisfait,,1
en disant,,1
rare,,1
scène,,1
saison,,1
seconde,,1
secret,secret,1
voyant,,1
sénat,,1
sénateur,,1
phrase,,1
serviteur,,1
servir,,1
un service,,1
Sept,,1
nombreuses,,1
ombre,,1
secouer,,1
doit,,1
la honte,,1
forme,,1
tranchant,,1
berger,,1
éclat,,1
rive,,1
court,tribunal,1
prochainement,,1
devrait,,1
montre,,1
maladie,,1
vue,,1
silence,silence,1
Facile,,1
depuis,,1
Célibataire,,1
sirrah,sirrah,1
sœur,,1
compétence,,1
tué,,1
calomnie,,1
esclave,,1
sommeil,,1
mince,,1
petit,,1
odeur,,1
sourire,,1
soldat,,1
solennel,,1
somerset,somerset,1
quelque chose,,1
parfois,,1
plus tôt,,1
devin,,1
chagrin,,1
Pardon,,1
recherché,,1
âmes,,1
du son,,1
souverain,,1
de rechange,,1
parler,,1
parle,,1
spécial,,1
la vitesse,,1
dépenser,,1
esprit,,1
dépit,,1
parlait,,1
sport,sport,1
printemps,,1
Personnel,,1
tache,,1
étoiles,,1
Etat,,1
voler,,1
acier,,1
intendant,,1
estomac,,1
calcul,,1
se tenait,,1
boutique,,1
orage,,1
récit,,1
tout droit,,1
étrange,,1
rue,,1
force,Obliger,1
la grève,,1
accident vasculaire cérébral,,1
fort,,1
frappé,,1
étude,,1
des trucs,,1
substance,substance,1
Succès,,1
soudain,,1
tout à coup,,1
souffrir,,1
suffolk,suffolk,1
été,,1
souper,,1
sûrement,,1
Surrey,,1
suspect,suspect,1
jurer,,1
transpiration,,1
sucré,,1
épée,,1
juré,,2
Syracuse,,1
table,table,1
tailleur,,1
pris,,1
talbot,talbot,1
goudronneux,,1
goût,,1
enseigné,,1
enseigner,,1
larmes,,2
fastidieux,,1
les dents,,1
raconte,,1
tempête,,1
soumissionner,,1
termes,,1
remercier,,1
leur,,1
Là,,1
par conséquent,,1
la bride,,1
celles-ci,,1
voleur,,1
chose,,1
pense,,1
troisième,,1
Thomas,,1
ceux,,1
pensée,,1
prospérer,,1
gorge,,1
trône,,1
par,,1
jeter,,1
poussée,,1
tonnerre,,1
fois,,1
Titre,,1
ensemble,,1
langue,,1
ce soir,,1
toucher,,1
vers,,1
la tour,,1
train,train,1
traitre,,1
bande de roulement,,1
trahison,,1
Trésor,,1
procès,,1
tribunes,tribunes,1
tour,,1
triomphe,,1
difficulté,,1
vraiment,,1
trompette,,1
confiance,,1
vérité,,1
se tourne,,1
deux fois,,1
tyran,,1
Ulysse,,1
oncle,,1
sous,,1
comprendre,,1
entreprendre,,1
défait,,1
malheureux,,1
inconnue,,1
sauf si,,1
jusqu'à,,1
indigne,,1
prononcer,,1
Valentin,,1
vaillant,,1
valeur,,1
venise,,1
version,version,1
la victoire,,1
scélérat,,1
alto,,1
violent,violent,1
vertu,,1
visite,,1
voix,,1
des murs,,1
guerrier,,1
mandat,,1
déchets,,1
regarder,,1
eau,,1
richesse,,1
armes,,1
se lasser,,1
mauvaises herbes,,1
poids,,1
Bienvenue,,1
d'où,,1
où,,3
qu'il s'agisse,,1
lequel,,1
tandis que,,1
entier,,1
putain,,1
dont,,1
veuve,,1
la fenêtre,,1
ailes,,1
hiver,,1
sagesse,,1
sorcière,,1
avec,,1
dans,,1
sans pour autant,,1
témoin,,1
épouses,,1
Wolsey,,1
femme,,1
merveille,,1
travaux,,1
monde,,1
pire,,1
culte,,1
vaut,,1
aurait,,1
blessure,,1
blessés,,1
misérable,,1
écrire,,1
écrit,,1
forgé,,1
rendement,,1
là-bas,,1
Jeune,,1
le tiens,,1
toi même,,1
jeunesse,,1
